video_id,start,end,bbox,fps,width,height,partition,person_id
lh-5ywLSky0,1249,1406,534-50-923-554,25,1280,720,train,id10193
D23qz5g6I2g,16635,16895,326-59-745-472,25,1280,720,train,id11182
vqs1ZvoJ4XY,7719,7818,416-16-775-440,25,1280,720,train,id10068
QuhY9sCgvt4,8335,8584,635-37-913-376,25,1280,720,train,id10637
_J7sSmwDF0o,3468,3610,220-7-507-405,25,1280,720,train,id10634
1hEvqYi9kkk,3572,3806,440-0-943-668,25,1280,720,train,id10411
iyHOYmDAYio,7386,7497,622-31-905-372,25,1280,720,train,id10125
90YNetVBMAQ,5480,5593,425-85-751-535,25,1280,720,train,id10125
ZQywkCcibpg,1031,1216,580-72-962-555,25,1280,720,train,id10226
kpP2zax_phY,4061,4213,403-83-787-509,25,1280,720,train,id10231
7J4N-z-ptUk,1203,1423,476-68-758-395,25,1280,720,train,id11027
N_IFXysOhCE,1699,1842,413-0-808-557,25,1280,720,train,id10608
QuhY9sCgvt4,5731,5888,619-27-889-365,25,1280,720,train,id10637
7YZlKFRT0gA,942,1113,735-58-1010-443,25,1280,720,train,id10973
GQxAiL_gSJg,3957,4155,288-79-596-424,25,1280,720,train,id10012
z8vUUJW-3nY,1485,1605,728-65-1026-424,25,1280,720,train,id10256
bLXip7ZI2Pc,7831,7932,475-56-1001-667,25,1280,720,train,id10631
rj8yB7i97nk,5174,5528,466-43-862-477,25,1280,720,train,id10224
jmIItZwaENQ,9309,9414,444-0-793-437,25,1280,720,train,id10902
ygFqhQoplYc,671,900,192-98-524-446,25,1280,720,train,id11212
8x1t8P-UQpY,12285,12491,363-103-785-522,25,1280,720,train,id10408
c3NNibFk058,374,960,262-51-533-403,25,1280,720,train,id10720
q3ovS5gis-c,3810,4148,391-62-725-459,25,1280,720,train,id10196
KDyuviEzSAE,2053,2289,330-40-652-421,25,1280,720,train,id11150
iUUpvrP-gzQ,8410,8565,608-42-945-518,25,1280,720,train,id10977
_P2lfeCH9hE,1987,2162,417-99-833-585,25,1280,720,train,id10971
zWig265SViA,1074,1185,451-26-803-433,25,1280,720,train,id10631
c3NNibFk058,5946,6039,305-38-630-389,25,1280,720,train,id10720
Osso1NQlyAw,594,767,656-116-985-483,25,1280,720,train,id10783
u1mn2JPayaA,21795,22051,10-0-978-790,25,1280,720,train,id10870
3fWgwa6UlHM,939,1050,233-51-533-477,25,1280,720,train,id10785
vkNHQZlIcV8,4623,4746,495-75-860-386,25,1280,720,train,id10198
BlCIXP4JePA,3519,3747,754-35-1067-413,25,1280,720,train,id10807
dXAgeC29uVY,5632,5808,646-64-898-381,25,1280,720,train,id10689
q-J2_kz7Tys,1839,2008,691-26-1042-505,25,1280,720,train,id10193
sM6t2znWSo0,8257,8403,193-39-437-363,25,640,360,train,id10321
_jP_Fl6g44A,2550,2946,408-36-774-485,25,1280,720,train,id10311
skt7RVs2Exo,4287,4465,288-74-656-545,25,1280,720,train,id10104
v59mVVRg-f4,7839,7971,450-40-821-601,25,1280,720,train,id11182
QPHNXybdpdM,640,764,456-36-850-481,25,1280,720,train,id10125
9ADlYZ1Gs6U,2698,2890,564-143-829-484,25,1280,720,train,id11067
c8LjgwDQAkw,3119,3229,266-98-549-426,25,1280,720,train,id10255
PUq4vumsEAE,842,945,584-33-1036-636,25,1280,720,train,id10187
36Tl_kEfuWQ,3049,3193,79-13-350-359,25,480,360,train,id10972
Osso1NQlyAw,1544,1805,693-98-1041-471,25,1280,720,train,id10783
VJ__L3391hU,4117,4257,673-86-918-402,25,1280,720,train,id11179
OxsvClqjWbo,10069,10220,446-70-760-381,25,1280,720,train,id10623
_9x1vLInPc0,939,1230,319-40-829-644,25,1280,720,train,id11179
6WO410QOeuo,3692,3882,330-116-631-462,25,1280,720,train,id10002
AktZd6FH5Yc,2781,2874,446-46-778-459,25,1280,720,train,id10377
ozFauToZMB0,15549,15667,443-67-824-600,25,1280,720,train,id10690
e64p0tyTJWc,6182,6363,663-47-987-373,25,1280,720,train,id10570
CzidftOsE5c,57808,58002,548-27-821-369,25,1280,720,train,id10907
zl1Jh2Jmrng,5803,5906,491-39-818-494,25,1280,720,train,id10570
GWPlmKDW8L4,35,138,611-67-885-434,25,1280,720,train,id10228
